,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
328,2020 - 2021,Highland County Public Schools,184.0,9.0,16.0,12.0,16.0,13.0,13.0,10.0,4.0,15.0,13.0,12.0,14.0,19.0,18.0
329,2020 - 2021,Hopewell City Public Schools,4245.0,316.0,284.0,313.0,326.0,308.0,278.0,311.0,296.0,317.0,306.0,330.0,303.0,273.0,281.0
330,2020 - 2021,Isle of Wight County Public Schools,5396.0,85.0,309.0,367.0,362.0,353.0,375.0,375.0,399.0,440.0,466.0,478.0,485.0,444.0,458.0
331,2020 - 2021,King George County Public Schools,4297.0,56.0,265.0,296.0,293.0,317.0,317.0,280.0,335.0,372.0,367.0,369.0,353.0,342.0,335.0
332,2020 - 2021,King William County Public Schools,2007.0,0.0,134.0,121.0,143.0,133.0,148.0,151.0,135.0,179.0,180.0,165.0,193.0,157.0,168.0
333,2020 - 2021,King and Queen County Public Schools,875.0,45.0,41.0,97.0,237.0,54.0,45.0,48.0,42.0,51.0,56.0,33.0,44.0,47.0,35.0
334,2020 - 2021,Lancaster County Public Schools,1014.0,38.0,67.0,61.0,58.0,75.0,73.0,85.0,66.0,64.0,84.0,72.0,89.0,89.0,93.0
335,2020 - 2021,Lee County Public Schools,3048.0,139.0,217.0,227.0,205.0,231.0,224.0,227.0,227.0,222.0,232.0,232.0,243.0,223.0,199.0
336,2020 - 2021,Lexington City Public Schools,465.0,2.0,42.0,44.0,49.0,57.0,60.0,49.0,53.0,47.0,62.0,,,,
337,2020 - 2021,Loudoun County Public Schools,81326.0,658.0,4806.0,5618.0,5565.0,6006.0,6064.0,6125.0,6352.0,6710.0,6786.0,6642.0,6754.0,6685.0,6548.0
338,2020 - 2021,Louisa County Public Schools,4984.0,126.0,340.0,347.0,353.0,383.0,338.0,372.0,392.0,407.0,404.0,406.0,386.0,379.0,351.0
339,2020 - 2021,Lunenburg County Public Schools,1622.0,64.0,116.0,118.0,106.0,108.0,111.0,108.0,137.0,129.0,126.0,146.0,133.0,103.0,117.0
340,2020 - 2021,Lynchburg City Public Schools,7963.0,297.0,543.0,615.0,565.0,564.0,574.0,559.0,600.0,591.0,629.0,619.0,624.0,604.0,577.0
341,2020 - 2021,Madison County Public Schools,1669.0,41.0,113.0,102.0,108.0,106.0,125.0,132.0,122.0,136.0,139.0,163.0,135.0,132.0,115.0
342,2020 - 2021,Manassas City Public Schools,7607.0,227.0,556.0,570.0,574.0,595.0,538.0,554.0,591.0,569.0,606.0,565.0,567.0,531.0,564.0
343,2020 - 2021,Manassas Park City Public Schools,3500.0,85.0,240.0,226.0,240.0,258.0,248.0,249.0,283.0,274.0,293.0,266.0,296.0,270.0,272.0
344,2020 - 2021,Martinsville City Public Schools,1881.0,74.0,136.0,118.0,121.0,134.0,143.0,141.0,148.0,130.0,155.0,153.0,155.0,123.0,150.0
345,2020 - 2021,Mathews County Public Schools,932.0,13.0,64.0,56.0,66.0,62.0,72.0,66.0,76.0,82.0,89.0,76.0,78.0,67.0,65.0
346,2020 - 2021,Mecklenburg County Public Schools,4093.0,145.0,291.0,280.0,294.0,276.0,307.0,301.0,316.0,298.0,299.0,337.0,311.0,315.0,323.0
347,2020 - 2021,Middlesex County Public Schools,1166.0,66.0,87.0,84.0,68.0,85.0,97.0,80.0,94.0,85.0,93.0,81.0,84.0,78.0,84.0
348,2020 - 2021,Montgomery County Public Schools,9711.0,198.0,673.0,665.0,709.0,748.0,712.0,722.0,706.0,760.0,816.0,741.0,789.0,712.0,760.0
349,2020 - 2021,Nelson County Public Schools,1596.0,17.0,87.0,95.0,91.0,130.0,105.0,115.0,119.0,124.0,143.0,144.0,139.0,138.0,149.0
350,2020 - 2021,New Kent County Public Schools,3040.0,34.0,166.0,189.0,200.0,213.0,224.0,209.0,248.0,258.0,269.0,297.0,263.0,241.0,229.0
351,2020 - 2021,Newport News City Public Schools,27118.0,1047.0,1836.0,2114.0,2071.0,2047.0,2053.0,2100.0,2026.0,2060.0,2102.0,2253.0,2086.0,1666.0,1657.0
352,2020 - 2021,Norfolk City Public Schools,27969.0,1278.0,2082.0,2235.0,2196.0,2191.0,2192.0,2158.0,2159.0,2067.0,2054.0,2291.0,2017.0,1442.0,1593.0
353,2020 - 2021,Northampton County Public Schools,1410.0,48.0,89.0,101.0,100.0,86.0,125.0,110.0,84.0,112.0,102.0,123.0,107.0,118.0,105.0
354,2020 - 2021,Northumberland County Public Schools,1228.0,33.0,70.0,84.0,98.0,82.0,94.0,90.0,95.0,96.0,85.0,103.0,106.0,84.0,108.0
355,2020 - 2021,Norton City Public Schools,861.0,36.0,61.0,72.0,60.0,55.0,55.0,65.0,67.0,64.0,64.0,55.0,69.0,75.0,63.0
356,2020 - 2021,Nottoway County Public Schools,1878.0,80.0,122.0,135.0,145.0,133.0,134.0,123.0,147.0,130.0,153.0,162.0,143.0,143.0,128.0
357,2020 - 2021,Orange County Public Schools,4907.0,164.0,331.0,339.0,348.0,355.0,395.0,349.0,371.0,390.0,404.0,393.0,373.0,356.0,339.0
358,2020 - 2021,Page County Public Schools,3213.0,84.0,195.0,228.0,222.0,221.0,200.0,208.0,261.0,251.0,225.0,280.0,279.0,291.0,268.0
359,2020 - 2021,Patrick County Public Schools,2517.0,111.0,357.0,231.0,145.0,150.0,158.0,157.0,141.0,177.0,164.0,192.0,186.0,170.0,178.0
360,2020 - 2021,Petersburg City Public Schools,4045.0,269.0,324.0,341.0,323.0,309.0,322.0,315.0,319.0,282.0,290.0,272.0,263.0,215.0,201.0
361,2020 - 2021,Pittsylvania County Public Schools,8213.0,265.0,459.0,508.0,546.0,546.0,589.0,564.0,647.0,685.0,662.0,726.0,713.0,627.0,676.0
362,2020 - 2021,Poquoson City Public Schools,2090.0,20.0,142.0,121.0,126.0,153.0,151.0,136.0,160.0,184.0,174.0,177.0,195.0,176.0,175.0
363,2020 - 2021,Portsmouth City Public Schools,13395.0,400.0,887.0,1076.0,1055.0,1035.0,1075.0,1077.0,1038.0,1015.0,909.0,1030.0,1029.0,846.0,923.0
364,2020 - 2021,Powhatan County Public Schools,4212.0,94.0,266.0,289.0,269.0,277.0,315.0,291.0,315.0,338.0,317.0,388.0,367.0,337.0,349.0
365,2020 - 2021,Prince Edward County Public Schools,1949.0,74.0,136.0,138.0,118.0,154.0,135.0,146.0,148.0,162.0,144.0,147.0,174.0,127.0,146.0
366,2020 - 2021,Prince George County Public Schools,6099.0,139.0,454.0,454.0,439.0,447.0,433.0,455.0,480.0,490.0,506.0,513.0,425.0,467.0,397.0
367,2020 - 2021,Prince William County Public Schools,89577.0,1373.0,5567.0,6303.0,6511.0,6595.0,6621.0,6741.0,6953.0,6919.0,7155.0,7670.0,7393.0,7008.0,6768.0
368,2020 - 2021,Pulaski County Public Schools,4010.0,122.0,270.0,297.0,323.0,294.0,266.0,287.0,295.0,332.0,299.0,316.0,327.0,315.0,267.0
369,2020 - 2021,Radford City Public Schools,2520.0,53.0,292.0,213.0,192.0,202.0,200.0,173.0,211.0,197.0,212.0,180.0,156.0,121.0,118.0
370,2020 - 2021,Rappahannock County Public Schools,766.0,31.0,55.0,52.0,50.0,45.0,58.0,61.0,50.0,60.0,59.0,60.0,54.0,72.0,59.0
371,2020 - 2021,Richmond City Public Schools,28240.0,1012.0,2209.0,2343.0,2241.0,2473.0,2297.0,2296.0,2253.0,2257.0,2206.0,1810.0,1961.0,1551.0,1317.0
372,2020 - 2021,Richmond County Public Schools,1306.0,43.0,94.0,88.0,85.0,88.0,106.0,91.0,92.0,119.0,108.0,104.0,93.0,107.0,88.0
373,2020 - 2021,Roanoke City Public Schools,13854.0,636.0,1004.0,1088.0,1076.0,1069.0,1045.0,1045.0,997.0,1099.0,1053.0,1062.0,990.0,900.0,790.0
374,2020 - 2021,Roanoke County Public Schools,13692.0,355.0,882.0,884.0,962.0,912.0,959.0,1040.0,1049.0,1105.0,1128.0,1203.0,1126.0,1035.0,1052.0
375,2020 - 2021,Rockbridge County Public Schools,2711.0,75.0,142.0,174.0,179.0,166.0,157.0,160.0,193.0,205.0,232.0,256.0,277.0,261.0,234.0
376,2020 - 2021,Rockingham County Public Schools,11354.0,334.0,760.0,802.0,749.0,795.0,794.0,836.0,885.0,857.0,899.0,963.0,926.0,922.0,832.0
377,2020 - 2021,Russell County Public Schools,3552.0,161.0,260.0,262.0,239.0,235.0,241.0,238.0,253.0,289.0,280.0,276.0,310.0,233.0,275.0
378,2020 - 2021,Salem City Public Schools,3834.0,77.0,246.0,257.0,262.0,276.0,258.0,263.0,330.0,280.0,317.0,321.0,331.0,322.0,288.0
379,2020 - 2021,Scott County Public Schools,3538.0,174.0,227.0,273.0,246.0,263.0,236.0,287.0,279.0,257.0,264.0,276.0,254.0,257.0,245.0
380,2020 - 2021,Shenandoah County Public Schools,5772.0,154.0,363.0,381.0,409.0,417.0,413.0,407.0,430.0,498.0,448.0,486.0,427.0,471.0,465.0
381,2020 - 2021,Smyth County Public Schools,4110.0,131.0,277.0,276.0,293.0,276.0,309.0,284.0,289.0,322.0,355.0,339.0,336.0,314.0,309.0
382,2020 - 2021,Southampton County Public Schools,2610.0,109.0,171.0,170.0,205.0,173.0,169.0,200.0,182.0,246.0,225.0,175.0,189.0,188.0,208.0
383,2020 - 2021,Spotsylvania County Public Schools,23038.0,401.0,1362.0,1562.0,1549.0,1599.0,1669.0,1716.0,1700.0,1908.0,1914.0,1978.0,2027.0,1815.0,1836.0
384,2020 - 2021,Stafford County Public Schools,29395.0,474.0,1757.0,1924.0,1957.0,2011.0,2094.0,2160.0,2244.0,2426.0,2451.0,2563.0,2544.0,2306.0,2484.0
385,2020 - 2021,Staunton City Public Schools,2607.0,81.0,172.0,203.0,173.0,191.0,212.0,187.0,190.0,225.0,185.0,208.0,215.0,206.0,159.0
386,2020 - 2021,Suffolk City Public Schools,13869.0,348.0,898.0,963.0,951.0,1014.0,1035.0,1053.0,1031.0,1114.0,1109.0,1271.0,1091.0,999.0,992.0
387,2020 - 2021,Surry County Public Schools,679.0,38.0,32.0,36.0,52.0,55.0,42.0,57.0,51.0,44.0,53.0,51.0,65.0,55.0,48.0
388,2020 - 2021,Sussex County Public Schools,1045.0,30.0,66.0,80.0,87.0,74.0,76.0,76.0,86.0,85.0,82.0,79.0,75.0,81.0,68.0
389,2020 - 2021,Tazewell County Public Schools,5432.0,130.0,407.0,405.0,370.0,356.0,390.0,373.0,399.0,438.0,433.0,464.0,455.0,419.0,393.0
390,2020 - 2021,Virginia Beach City Public Schools,65612.0,1323.0,4072.0,4814.0,4781.0,4795.0,4819.0,4967.0,5068.0,5181.0,5090.0,5453.0,5328.0,4933.0,4988.0
391,2020 - 2021,Virginia School for the Deaf and Blind-Staunton,63.0,1.0,5.0,3.0,3.0,8.0,5.0,8.0,8.0,6.0,16.0,,,,
392,2020 - 2021,Warren County Public Schools,5161.0,167.0,337.0,369.0,363.0,354.0,363.0,338.0,368.0,402.0,431.0,428.0,411.0,414.0,415.0
393,2020 - 2021,Washington County Public Schools,6760.0,209.0,426.0,431.0,455.0,485.0,442.0,493.0,530.0,523.0,563.0,554.0,550.0,562.0,537.0
394,2020 - 2021,Waynesboro City Public Schools,2914.0,104.0,168.0,201.0,198.0,208.0,223.0,216.0,225.0,250.0,223.0,250.0,232.0,207.0,209.0
395,2020 - 2021,West Point Public Schools,804.0,8.0,56.0,58.0,51.0,54.0,61.0,47.0,51.0,75.0,65.0,80.0,69.0,70.0,59.0
396,2020 - 2021,Westmoreland County Public Schools,1548.0,63.0,121.0,109.0,105.0,114.0,97.0,116.0,99.0,111.0,126.0,117.0,126.0,127.0,117.0
397,2020 - 2021,Williamsburg-James City County Public Schools,11152.0,247.0,669.0,766.0,748.0,765.0,843.0,798.0,827.0,867.0,869.0,965.0,919.0,967.0,902.0
398,2020 - 2021,Winchester City Public Schools,4269.0,111.0,268.0,310.0,313.0,310.0,314.0,317.0,306.0,320.0,331.0,382.0,344.0,332.0,311.0
399,2020 - 2021,Wise County Public Schools,5541.0,285.0,343.0,412.0,413.0,378.0,378.0,425.0,440.0,447.0,479.0,398.0,413.0,388.0,341.0
400,2020 - 2021,Wythe County Public Schools,3858.0,106.0,263.0,267.0,274.0,275.0,253.0,265.0,290.0,291.0,319.0,353.0,304.0,296.0,302.0
401,2020 - 2021,York County Public Schools,12492.0,161.0,735.0,909.0,906.0,918.0,940.0,911.0,952.0,1035.0,976.0,1017.0,1064.0,960.0,1008.0
