,Year,Division,All,PK,KG,1,2,3,4,5,6,7,8,9,10,11,12
60,2018 - 2019,Highland County Public Schools,205.0,17.0,20.0,15.0,15.0,13.0,7.0,12.0,17.0,10.0,15.0,17.0,21.0,12.0,14.0
61,2018 - 2019,Hopewell City Public Schools,4372.0,310.0,349.0,341.0,304.0,325.0,305.0,347.0,323.0,316.0,292.0,307.0,316.0,280.0,257.0
62,2018 - 2019,Isle of Wight County Public Schools,5532.0,111.0,374.0,359.0,403.0,384.0,410.0,408.0,465.0,409.0,441.0,459.0,489.0,391.0,429.0
63,2018 - 2019,King George County Public Schools,4477.0,108.0,303.0,353.0,328.0,301.0,335.0,369.0,364.0,340.0,335.0,415.0,320.0,286.0,320.0
64,2018 - 2019,King William County Public Schools,2227.0,18.0,158.0,139.0,154.0,173.0,142.0,185.0,178.0,157.0,201.0,184.0,182.0,186.0,170.0
65,2018 - 2019,King and Queen County Public Schools,829.0,47.0,47.0,86.0,194.0,53.0,43.0,53.0,62.0,38.0,47.0,50.0,37.0,38.0,34.0
66,2018 - 2019,Lancaster County Public Schools,1137.0,81.0,64.0,72.0,75.0,89.0,70.0,66.0,86.0,68.0,84.0,103.0,97.0,84.0,97.0
67,2018 - 2019,Lee County Public Schools,3254.0,225.0,223.0,240.0,234.0,239.0,236.0,228.0,236.0,226.0,225.0,262.0,259.0,225.0,196.0
68,2018 - 2019,Lexington City Public Schools,522.0,0.0,50.0,63.0,62.0,53.0,55.0,50.0,62.0,58.0,69.0,,,,
69,2018 - 2019,Loudoun County Public Schools,82246.0,846.0,5405.0,5920.0,6053.0,6082.0,6306.0,6537.0,6660.0,6445.0,6434.0,6714.0,6419.0,6399.0,6018.0
70,2018 - 2019,Louisa County Public Schools,4906.0,116.0,351.0,362.0,334.0,365.0,387.0,407.0,381.0,379.0,390.0,379.0,359.0,352.0,344.0
71,2018 - 2019,Lunenburg County Public Schools,1551.0,69.0,102.0,114.0,104.0,98.0,129.0,117.0,118.0,141.0,125.0,129.0,120.0,75.0,110.0
72,2018 - 2019,Lynchburg City Public Schools,8286.0,305.0,630.0,625.0,626.0,594.0,623.0,625.0,626.0,595.0,601.0,660.0,632.0,587.0,557.0
73,2018 - 2019,Madison County Public Schools,1743.0,51.0,107.0,101.0,133.0,128.0,123.0,130.0,139.0,142.0,146.0,145.0,133.0,139.0,126.0
74,2018 - 2019,Manassas City Public Schools,7723.0,262.0,558.0,610.0,571.0,568.0,615.0,589.0,598.0,585.0,558.0,618.0,569.0,524.0,498.0
75,2018 - 2019,Manassas Park City Public Schools,3724.0,125.0,246.0,261.0,271.0,248.0,309.0,274.0,286.0,285.0,263.0,311.0,287.0,257.0,301.0
76,2018 - 2019,Martinsville City Public Schools,1942.0,139.0,122.0,140.0,140.0,135.0,151.0,138.0,154.0,140.0,130.0,152.0,145.0,118.0,138.0
77,2018 - 2019,Mathews County Public Schools,1064.0,7.0,65.0,69.0,75.0,73.0,82.0,80.0,87.0,72.0,87.0,89.0,77.0,112.0,89.0
78,2018 - 2019,Mecklenburg County Public Schools,4215.0,200.0,272.0,292.0,308.0,297.0,316.0,305.0,291.0,325.0,311.0,352.0,352.0,286.0,308.0
79,2018 - 2019,Middlesex County Public Schools,1223.0,50.0,76.0,83.0,93.0,76.0,97.0,89.0,93.0,87.0,102.0,102.0,96.0,89.0,89.0
80,2018 - 2019,Montgomery County Public Schools,9978.0,279.0,726.0,787.0,737.0,782.0,716.0,767.0,795.0,723.0,735.0,731.0,795.0,671.0,734.0
81,2018 - 2019,Nelson County Public Schools,1807.0,43.0,100.0,125.0,114.0,120.0,128.0,127.0,148.0,139.0,131.0,172.0,171.0,141.0,148.0
82,2018 - 2019,New Kent County Public Schools,3307.0,62.0,219.0,242.0,236.0,240.0,251.0,253.0,285.0,280.0,273.0,254.0,246.0,233.0,233.0
