Year,Level,Division,Grade,Count
2018 - 2019,DIV,Bland County Public Schools,10,70
2018 - 2019,DIV,Bland County Public Schools,11,44
2018 - 2019,DIV,Bland County Public Schools,12,71
2018 - 2019,DIV,Botetourt County Public Schools,,4659
2018 - 2019,DIV,Botetourt County Public Schools,PK,87
2018 - 2019,DIV,Botetourt County Public Schools,KG,308
2018 - 2019,DIV,Botetourt County Public Schools,1,314
2018 - 2019,DIV,Botetourt County Public Schools,2,311
2018 - 2019,DIV,Botetourt County Public Schools,3,309
2018 - 2019,DIV,Botetourt County Public Schools,4,338
2018 - 2019,DIV,Botetourt County Public Schools,5,313
2018 - 2019,DIV,Botetourt County Public Schools,6,352
2018 - 2019,DIV,Botetourt County Public Schools,7,364
2018 - 2019,DIV,Botetourt County Public Schools,8,365
2018 - 2019,DIV,Botetourt County Public Schools,9,405
2018 - 2019,DIV,Botetourt County Public Schools,10,393
2018 - 2019,DIV,Botetourt County Public Schools,11,420
2018 - 2019,DIV,Botetourt County Public Schools,12,380
2018 - 2019,DIV,Bristol City Public Schools,,2271
2018 - 2019,DIV,Bristol City Public Schools,PK,117
2018 - 2019,DIV,Bristol City Public Schools,KG,161
2018 - 2019,DIV,Bristol City Public Schools,1,162
2018 - 2019,DIV,Bristol City Public Schools,2,160
2018 - 2019,DIV,Bristol City Public Schools,3,172
2018 - 2019,DIV,Bristol City Public Schools,4,163
2018 - 2019,DIV,Bristol City Public Schools,5,169
2018 - 2019,DIV,Bristol City Public Schools,6,159
2018 - 2019,DIV,Bristol City Public Schools,7,168
2018 - 2019,DIV,Bristol City Public Schools,8,170
2018 - 2019,DIV,Bristol City Public Schools,9,181
2018 - 2019,DIV,Bristol City Public Schools,10,150
2018 - 2019,DIV,Bristol City Public Schools,11,163
2018 - 2019,DIV,Bristol City Public Schools,12,176
2018 - 2019,DIV,Brunswick County Public Schools,,1616
2018 - 2019,DIV,Brunswick County Public Schools,PK,56
2018 - 2019,DIV,Brunswick County Public Schools,KG,111
2018 - 2019,DIV,Brunswick County Public Schools,1,117
2018 - 2019,DIV,Brunswick County Public Schools,2,111
2018 - 2019,DIV,Brunswick County Public Schools,3,122
2018 - 2019,DIV,Brunswick County Public Schools,4,124
2018 - 2019,DIV,Brunswick County Public Schools,5,135
2018 - 2019,DIV,Brunswick County Public Schools,6,103
2018 - 2019,DIV,Brunswick County Public Schools,7,113
2018 - 2019,DIV,Brunswick County Public Schools,8,127
2018 - 2019,DIV,Brunswick County Public Schools,9,132
2018 - 2019,DIV,Brunswick County Public Schools,10,117
2018 - 2019,DIV,Brunswick County Public Schools,11,143
2018 - 2019,DIV,Brunswick County Public Schools,12,105
2018 - 2019,DIV,Buchanan County Public Schools,,2758
2018 - 2019,DIV,Buchanan County Public Schools,PK,110
2018 - 2019,DIV,Buchanan County Public Schools,KG,186
2018 - 2019,DIV,Buchanan County Public Schools,1,203
2018 - 2019,DIV,Buchanan County Public Schools,2,174
2018 - 2019,DIV,Buchanan County Public Schools,3,198
2018 - 2019,DIV,Buchanan County Public Schools,4,203
2018 - 2019,DIV,Buchanan County Public Schools,5,205
2018 - 2019,DIV,Buchanan County Public Schools,6,185
2018 - 2019,DIV,Buchanan County Public Schools,7,219
2018 - 2019,DIV,Buchanan County Public Schools,8,199
2018 - 2019,DIV,Buchanan County Public Schools,9,223
2018 - 2019,DIV,Buchanan County Public Schools,10,222
2018 - 2019,DIV,Buchanan County Public Schools,11,217
2018 - 2019,DIV,Buchanan County Public Schools,12,214
2018 - 2019,DIV,Buckingham County Public Schools,,2127
2018 - 2019,DIV,Buckingham County Public Schools,PK,114
2018 - 2019,DIV,Buckingham County Public Schools,KG,151
2018 - 2019,DIV,Buckingham County Public Schools,1,149
2018 - 2019,DIV,Buckingham County Public Schools,2,149
2018 - 2019,DIV,Buckingham County Public Schools,3,157
2018 - 2019,DIV,Buckingham County Public Schools,4,170
2018 - 2019,DIV,Buckingham County Public Schools,5,176
2018 - 2019,DIV,Buckingham County Public Schools,6,177
2018 - 2019,DIV,Buckingham County Public Schools,7,152
2018 - 2019,DIV,Buckingham County Public Schools,8,159
2018 - 2019,DIV,Buckingham County Public Schools,9,148
2018 - 2019,DIV,Buckingham County Public Schools,10,145
2018 - 2019,DIV,Buckingham County Public Schools,11,156
2018 - 2019,DIV,Buckingham County Public Schools,12,124
2018 - 2019,DIV,Buena Vista City Public Schools,,918
2018 - 2019,DIV,Buena Vista City Public Schools,PK,33
