Year,Level,Division,Grade,Count
2019 - 2020,DIV,Halifax County Public Schools,1,343
2019 - 2020,DIV,Halifax County Public Schools,2,317
2019 - 2020,DIV,Halifax County Public Schools,3,302
2019 - 2020,DIV,Halifax County Public Schools,4,342
2019 - 2020,DIV,Halifax County Public Schools,5,355
2019 - 2020,DIV,Halifax County Public Schools,6,378
2019 - 2020,DIV,Halifax County Public Schools,7,376
2019 - 2020,DIV,Halifax County Public Schools,8,373
2019 - 2020,DIV,Halifax County Public Schools,9,381
2019 - 2020,DIV,Halifax County Public Schools,10,378
2019 - 2020,DIV,Halifax County Public Schools,11,367
2019 - 2020,DIV,Halifax County Public Schools,12,340
2019 - 2020,DIV,Hampton City Public Schools,,19590
2019 - 2020,DIV,Hampton City Public Schools,PK,607
2019 - 2020,DIV,Hampton City Public Schools,KG,1456
2019 - 2020,DIV,Hampton City Public Schools,1,1480
2019 - 2020,DIV,Hampton City Public Schools,2,1410
2019 - 2020,DIV,Hampton City Public Schools,3,1365
2019 - 2020,DIV,Hampton City Public Schools,4,1480
2019 - 2020,DIV,Hampton City Public Schools,5,1451
2019 - 2020,DIV,Hampton City Public Schools,6,1500
2019 - 2020,DIV,Hampton City Public Schools,7,1543
2019 - 2020,DIV,Hampton City Public Schools,8,1410
2019 - 2020,DIV,Hampton City Public Schools,9,1809
2019 - 2020,DIV,Hampton City Public Schools,10,1529
2019 - 2020,DIV,Hampton City Public Schools,11,1365
2019 - 2020,DIV,Hampton City Public Schools,12,1185
2019 - 2020,DIV,Hanover County Public Schools,,17541
2019 - 2020,DIV,Hanover County Public Schools,PK,268
2019 - 2020,DIV,Hanover County Public Schools,KG,1155
2019 - 2020,DIV,Hanover County Public Schools,1,1173
2019 - 2020,DIV,Hanover County Public Schools,2,1159
2019 - 2020,DIV,Hanover County Public Schools,3,1252
2019 - 2020,DIV,Hanover County Public Schools,4,1259
2019 - 2020,DIV,Hanover County Public Schools,5,1319
2019 - 2020,DIV,Hanover County Public Schools,6,1327
2019 - 2020,DIV,Hanover County Public Schools,7,1377
2019 - 2020,DIV,Hanover County Public Schools,8,1449
2019 - 2020,DIV,Hanover County Public Schools,9,1468
2019 - 2020,DIV,Hanover County Public Schools,10,1475
2019 - 2020,DIV,Hanover County Public Schools,11,1449
2019 - 2020,DIV,Hanover County Public Schools,12,1411
2019 - 2020,DIV,Harrisonburg City Public Schools,,6613
2019 - 2020,DIV,Harrisonburg City Public Schools,PK,337
2019 - 2020,DIV,Harrisonburg City Public Schools,KG,495
2019 - 2020,DIV,Harrisonburg City Public Schools,1,479
2019 - 2020,DIV,Harrisonburg City Public Schools,2,510
2019 - 2020,DIV,Harrisonburg City Public Schools,3,497
2019 - 2020,DIV,Harrisonburg City Public Schools,4,493
2019 - 2020,DIV,Harrisonburg City Public Schools,5,467
2019 - 2020,DIV,Harrisonburg City Public Schools,6,497
2019 - 2020,DIV,Harrisonburg City Public Schools,7,455
2019 - 2020,DIV,Harrisonburg City Public Schools,8,495
2019 - 2020,DIV,Harrisonburg City Public Schools,9,518
2019 - 2020,DIV,Harrisonburg City Public Schools,10,516
2019 - 2020,DIV,Harrisonburg City Public Schools,11,395
2019 - 2020,DIV,Harrisonburg City Public Schools,12,459
2019 - 2020,DIV,Henrico County Public Schools,,51786
2019 - 2020,DIV,Henrico County Public Schools,PK,1141
2019 - 2020,DIV,Henrico County Public Schools,KG,3741
2019 - 2020,DIV,Henrico County Public Schools,1,3704
2019 - 2020,DIV,Henrico County Public Schools,2,3751
2019 - 2020,DIV,Henrico County Public Schools,3,3718
2019 - 2020,DIV,Henrico County Public Schools,4,3747
2019 - 2020,DIV,Henrico County Public Schools,5,3904
2019 - 2020,DIV,Henrico County Public Schools,6,3980
2019 - 2020,DIV,Henrico County Public Schools,7,4059
2019 - 2020,DIV,Henrico County Public Schools,8,4090
2019 - 2020,DIV,Henrico County Public Schools,9,4332
2019 - 2020,DIV,Henrico County Public Schools,10,4080
2019 - 2020,DIV,Henrico County Public Schools,11,3782
2019 - 2020,DIV,Henrico County Public Schools,12,3757
2019 - 2020,DIV,Henry County Public Schools,,7381
2019 - 2020,DIV,Henry County Public Schools,PK,313
2019 - 2020,DIV,Henry County Public Schools,KG,487
2019 - 2020,DIV,Henry County Public Schools,1,522
2019 - 2020,DIV,Henry County Public Schools,2,535
2019 - 2020,DIV,Henry County Public Schools,3,517
2019 - 2020,DIV,Henry County Public Schools,4,512
2019 - 2020,DIV,Henry County Public Schools,5,589
2019 - 2020,DIV,Henry County Public Schools,6,574
2019 - 2020,DIV,Henry County Public Schools,7,578
2019 - 2020,DIV,Henry County Public Schools,8,549
2019 - 2020,DIV,Henry County Public Schools,9,611
2019 - 2020,DIV,Henry County Public Schools,10,555
2019 - 2020,DIV,Henry County Public Schools,11,490
2019 - 2020,DIV,Henry County Public Schools,12,549
2019 - 2020,DIV,Highland County Public Schools,,218
2019 - 2020,DIV,Highland County Public Schools,PK,17
2019 - 2020,DIV,Highland County Public Schools,KG,19
2019 - 2020,DIV,Highland County Public Schools,1,21
2019 - 2020,DIV,Highland County Public Schools,2,15
2019 - 2020,DIV,Highland County Public Schools,3,18
2019 - 2020,DIV,Highland County Public Schools,4,14
2019 - 2020,DIV,Highland County Public Schools,5,5
2019 - 2020,DIV,Highland County Public Schools,6,16
2019 - 2020,DIV,Highland County Public Schools,7,12
2019 - 2020,DIV,Highland County Public Schools,8,14
2019 - 2020,DIV,Highland County Public Schools,9,14
2019 - 2020,DIV,Highland County Public Schools,10,18
2019 - 2020,DIV,Highland County Public Schools,11,19
2019 - 2020,DIV,Highland County Public Schools,12,16
2019 - 2020,DIV,Hopewell City Public Schools,,4283
2019 - 2020,DIV,Hopewell City Public Schools,PK,304
2019 - 2020,DIV,Hopewell City Public Schools,KG,308
2019 - 2020,DIV,Hopewell City Public Schools,1,344
2019 - 2020,DIV,Hopewell City Public Schools,2,319
2019 - 2020,DIV,Hopewell City Public Schools,3,290
2019 - 2020,DIV,Hopewell City Public Schools,4,318
2019 - 2020,DIV,Hopewell City Public Schools,5,303
2019 - 2020,DIV,Hopewell City Public Schools,6,311
2019 - 2020,DIV,Hopewell City Public Schools,7,313
2019 - 2020,DIV,Hopewell City Public Schools,8,317
2019 - 2020,DIV,Hopewell City Public Schools,9,324
2019 - 2020,DIV,Hopewell City Public Schools,10,282
2019 - 2020,DIV,Hopewell City Public Schools,11,301
2019 - 2020,DIV,Hopewell City Public Schools,12,249
2019 - 2020,DIV,Isle of Wight County Public Schools,,5630
2019 - 2020,DIV,Isle of Wight County Public Schools,PK,111
2019 - 2020,DIV,Isle of Wight County Public Schools,KG,382
2019 - 2020,DIV,Isle of Wight County Public Schools,1,402
2019 - 2020,DIV,Isle of Wight County Public Schools,2,380
2019 - 2020,DIV,Isle of Wight County Public Schools,3,410
2019 - 2020,DIV,Isle of Wight County Public Schools,4,401
2019 - 2020,DIV,Isle of Wight County Public Schools,5,415
2019 - 2020,DIV,Isle of Wight County Public Schools,6,440
2019 - 2020,DIV,Isle of Wight County Public Schools,7,477
2019 - 2020,DIV,Isle of Wight County Public Schools,8,423
2019 - 2020,DIV,Isle of Wight County Public Schools,9,488
2019 - 2020,DIV,Isle of Wight County Public Schools,10,455
2019 - 2020,DIV,Isle of Wight County Public Schools,11,453
2019 - 2020,DIV,Isle of Wight County Public Schools,12,393
2019 - 2020,DIV,King George County Public Schools,,4518
2019 - 2020,DIV,King George County Public Schools,PK,96
2019 - 2020,DIV,King George County Public Schools,KG,326
2019 - 2020,DIV,King George County Public Schools,1,309
2019 - 2020,DIV,King George County Public Schools,2,355
2019 - 2020,DIV,King George County Public Schools,3,333
2019 - 2020,DIV,King George County Public Schools,4,302
2019 - 2020,DIV,King George County Public Schools,5,333
2019 - 2020,DIV,King George County Public Schools,6,372
2019 - 2020,DIV,King George County Public Schools,7,371
2019 - 2020,DIV,King George County Public Schools,8,355
2019 - 2020,DIV,King George County Public Schools,9,369
2019 - 2020,DIV,King George County Public Schools,10,381
2019 - 2020,DIV,King George County Public Schools,11,295
2019 - 2020,DIV,King George County Public Schools,12,321
2019 - 2020,DIV,King William County Public Schools,,2188
2019 - 2020,DIV,King William County Public Schools,PK,16
2019 - 2020,DIV,King William County Public Schools,KG,145
2019 - 2020,DIV,King William County Public Schools,1,160
2019 - 2020,DIV,King William County Public Schools,2,141
2019 - 2020,DIV,King William County Public Schools,3,155
2019 - 2020,DIV,King William County Public Schools,4,164
2019 - 2020,DIV,King William County Public Schools,5,139
2019 - 2020,DIV,King William County Public Schools,6,189
2019 - 2020,DIV,King William County Public Schools,7,184
2019 - 2020,DIV,King William County Public Schools,8,162
2019 - 2020,DIV,King William County Public Schools,9,210
2019 - 2020,DIV,King William County Public Schools,10,162
2019 - 2020,DIV,King William County Public Schools,11,173
2019 - 2020,DIV,King William County Public Schools,12,188
2019 - 2020,DIV,King and Queen County Public Schools,,833
2019 - 2020,DIV,King and Queen County Public Schools,PK,32
2019 - 2020,DIV,King and Queen County Public Schools,KG,52
2019 - 2020,DIV,King and Queen County Public Schools,1,114
2019 - 2020,DIV,King and Queen County Public Schools,2,188
2019 - 2020,DIV,King and Queen County Public Schools,3,43
2019 - 2020,DIV,King and Queen County Public Schools,4,47
2019 - 2020,DIV,King and Queen County Public Schools,5,42
2019 - 2020,DIV,King and Queen County Public Schools,6,52
2019 - 2020,DIV,King and Queen County Public Schools,7,57
2019 - 2020,DIV,King and Queen County Public Schools,8,33
2019 - 2020,DIV,King and Queen County Public Schools,9,49
2019 - 2020,DIV,King and Queen County Public Schools,10,51
2019 - 2020,DIV,King and Queen County Public Schools,11,36
2019 - 2020,DIV,King and Queen County Public Schools,12,37
2019 - 2020,DIV,Lancaster County Public Schools,,1079
2019 - 2020,DIV,Lancaster County Public Schools,PK,64
2019 - 2020,DIV,Lancaster County Public Schools,KG,60
2019 - 2020,DIV,Lancaster County Public Schools,1,59
2019 - 2020,DIV,Lancaster County Public Schools,2,74
2019 - 2020,DIV,Lancaster County Public Schools,3,73
2019 - 2020,DIV,Lancaster County Public Schools,4,90
2019 - 2020,DIV,Lancaster County Public Schools,5,72
2019 - 2020,DIV,Lancaster County Public Schools,6,65
2019 - 2020,DIV,Lancaster County Public Schools,7,83
2019 - 2020,DIV,Lancaster County Public Schools,8,69
2019 - 2020,DIV,Lancaster County Public Schools,9,98
2019 - 2020,DIV,Lancaster County Public Schools,10,92
2019 - 2020,DIV,Lancaster County Public Schools,11,89
2019 - 2020,DIV,Lancaster County Public Schools,12,91
2019 - 2020,DIV,Lee County Public Schools,,3192
2019 - 2020,DIV,Lee County Public Schools,PK,213
2019 - 2020,DIV,Lee County Public Schools,KG,233
2019 - 2020,DIV,Lee County Public Schools,1,209
2019 - 2020,DIV,Lee County Public Schools,2,233
2019 - 2020,DIV,Lee County Public Schools,3,229
2019 - 2020,DIV,Lee County Public Schools,4,233
2019 - 2020,DIV,Lee County Public Schools,5,236
2019 - 2020,DIV,Lee County Public Schools,6,225
2019 - 2020,DIV,Lee County Public Schools,7,233
2019 - 2020,DIV,Lee County Public Schools,8,240
2019 - 2020,DIV,Lee County Public Schools,9,248
2019 - 2020,DIV,Lee County Public Schools,10,242
2019 - 2020,DIV,Lee County Public Schools,11,223
2019 - 2020,DIV,Lee County Public Schools,12,195
2019 - 2020,DIV,Lexington City Public Schools,,503
2019 - 2020,DIV,Lexington City Public Schools,PK,0
2019 - 2020,DIV,Lexington City Public Schools,KG,50
2019 - 2020,DIV,Lexington City Public Schools,1,53
2019 - 2020,DIV,Lexington City Public Schools,2,62
2019 - 2020,DIV,Lexington City Public Schools,3,60
2019 - 2020,DIV,Lexington City Public Schools,4,53
2019 - 2020,DIV,Lexington City Public Schools,5,56
2019 - 2020,DIV,Lexington City Public Schools,6,51
2019 - 2020,DIV,Lexington City Public Schools,7,62
2019 - 2020,DIV,Lexington City Public Schools,8,56
2019 - 2020,DIV,Loudoun County Public Schools,,83936
2019 - 2020,DIV,Loudoun County Public Schools,PG,3
2019 - 2020,DIV,Loudoun County Public Schools,PK,844
2019 - 2020,DIV,Loudoun County Public Schools,KG,5693
2019 - 2020,DIV,Loudoun County Public Schools,1,5803
2019 - 2020,DIV,Loudoun County Public Schools,2,6147
2019 - 2020,DIV,Loudoun County Public Schools,3,6206
2019 - 2020,DIV,Loudoun County Public Schools,4,6256
2019 - 2020,DIV,Loudoun County Public Schools,5,6448
2019 - 2020,DIV,Loudoun County Public Schools,6,6695
2019 - 2020,DIV,Loudoun County Public Schools,7,6787
2019 - 2020,DIV,Loudoun County Public Schools,8,6606
2019 - 2020,DIV,Loudoun County Public Schools,9,6784
2019 - 2020,DIV,Loudoun County Public Schools,10,6778
2019 - 2020,DIV,Loudoun County Public Schools,11,6439
2019 - 2020,DIV,Loudoun County Public Schools,12,6447
2019 - 2020,DIV,Louisa County Public Schools,,4987
2019 - 2020,DIV,Louisa County Public Schools,PK,124
2019 - 2020,DIV,Louisa County Public Schools,KG,346
2019 - 2020,DIV,Louisa County Public Schools,1,372
2019 - 2020,DIV,Louisa County Public Schools,2,366
2019 - 2020,DIV,Louisa County Public Schools,3,332
2019 - 2020,DIV,Louisa County Public Schools,4,371
2019 - 2020,DIV,Louisa County Public Schools,5,392
2019 - 2020,DIV,Louisa County Public Schools,6,413
2019 - 2020,DIV,Louisa County Public Schools,7,392
2019 - 2020,DIV,Louisa County Public Schools,8,384
2019 - 2020,DIV,Louisa County Public Schools,9,393
2019 - 2020,DIV,Louisa County Public Schools,10,377
2019 - 2020,DIV,Louisa County Public Schools,11,360
2019 - 2020,DIV,Louisa County Public Schools,12,365
2019 - 2020,DIV,Lunenburg County Public Schools,,1590
2019 - 2020,DIV,Lunenburg County Public Schools,PK,59
2019 - 2020,DIV,Lunenburg County Public Schools,KG,118
2019 - 2020,DIV,Lunenburg County Public Schools,1,117
2019 - 2020,DIV,Lunenburg County Public Schools,2,107
2019 - 2020,DIV,Lunenburg County Public Schools,3,110
2019 - 2020,DIV,Lunenburg County Public Schools,4,108
2019 - 2020,DIV,Lunenburg County Public Schools,5,136
2019 - 2020,DIV,Lunenburg County Public Schools,6,124
2019 - 2020,DIV,Lunenburg County Public Schools,7,123
2019 - 2020,DIV,Lunenburg County Public Schools,8,134
2019 - 2020,DIV,Lunenburg County Public Schools,9,138
2019 - 2020,DIV,Lunenburg County Public Schools,10,120
2019 - 2020,DIV,Lunenburg County Public Schools,11,89
2019 - 2020,DIV,Lunenburg County Public Schools,12,107
2019 - 2020,DIV,Lynchburg City Public Schools,,8238
2019 - 2020,DIV,Lynchburg City Public Schools,PK,305
2019 - 2020,DIV,Lynchburg City Public Schools,KG,664
2019 - 2020,DIV,Lynchburg City Public Schools,1,614
2019 - 2020,DIV,Lynchburg City Public Schools,2,595
2019 - 2020,DIV,Lynchburg City Public Schools,3,610
2019 - 2020,DIV,Lynchburg City Public Schools,4,585
2019 - 2020,DIV,Lynchburg City Public Schools,5,615
2019 - 2020,DIV,Lynchburg City Public Schools,6,604
2019 - 2020,DIV,Lynchburg City Public Schools,7,627
2019 - 2020,DIV,Lynchburg City Public Schools,8,564
2019 - 2020,DIV,Lynchburg City Public Schools,9,636
2019 - 2020,DIV,Lynchburg City Public Schools,10,643
2019 - 2020,DIV,Lynchburg City Public Schools,11,600
2019 - 2020,DIV,Lynchburg City Public Schools,12,576
2019 - 2020,DIV,Madison County Public Schools,,1726
2019 - 2020,DIV,Madison County Public Schools,PK,65
2019 - 2020,DIV,Madison County Public Schools,KG,107
2019 - 2020,DIV,Madison County Public Schools,1,107
2019 - 2020,DIV,Madison County Public Schools,2,106
2019 - 2020,DIV,Madison County Public Schools,3,127
2019 - 2020,DIV,Madison County Public Schools,4,131
2019 - 2020,DIV,Madison County Public Schools,5,122
2019 - 2020,DIV,Madison County Public Schools,6,133
2019 - 2020,DIV,Madison County Public Schools,7,143
2019 - 2020,DIV,Madison County Public Schools,8,144
2019 - 2020,DIV,Madison County Public Schools,9,147
2019 - 2020,DIV,Madison County Public Schools,10,138
2019 - 2020,DIV,Madison County Public Schools,11,114
2019 - 2020,DIV,Madison County Public Schools,12,142
2019 - 2020,DIV,Manassas City Public Schools,,7789
2019 - 2020,DIV,Manassas City Public Schools,PK,261
2019 - 2020,DIV,Manassas City Public Schools,KG,579
2019 - 2020,DIV,Manassas City Public Schools,1,595
2019 - 2020,DIV,Manassas City Public Schools,2,607
2019 - 2020,DIV,Manassas City Public Schools,3,561
2019 - 2020,DIV,Manassas City Public Schools,4,584
2019 - 2020,DIV,Manassas City Public Schools,5,595
2019 - 2020,DIV,Manassas City Public Schools,6,588
2019 - 2020,DIV,Manassas City Public Schools,7,619
2019 - 2020,DIV,Manassas City Public Schools,8,577
2019 - 2020,DIV,Manassas City Public Schools,9,553
2019 - 2020,DIV,Manassas City Public Schools,10,587
2019 - 2020,DIV,Manassas City Public Schools,11,548
2019 - 2020,DIV,Manassas City Public Schools,12,535
2019 - 2020,DIV,Manassas Park City Public Schools,,3641
2019 - 2020,DIV,Manassas Park City Public Schools,PK,135
2019 - 2020,DIV,Manassas Park City Public Schools,KG,235
2019 - 2020,DIV,Manassas Park City Public Schools,1,227
2019 - 2020,DIV,Manassas Park City Public Schools,2,263
2019 - 2020,DIV,Manassas Park City Public Schools,3,254
2019 - 2020,DIV,Manassas Park City Public Schools,4,249
2019 - 2020,DIV,Manassas Park City Public Schools,5,301
2019 - 2020,DIV,Manassas Park City Public Schools,6,278
2019 - 2020,DIV,Manassas Park City Public Schools,7,291
2019 - 2020,DIV,Manassas Park City Public Schools,8,295
2019 - 2020,DIV,Manassas Park City Public Schools,9,298
2019 - 2020,DIV,Manassas Park City Public Schools,10,304
2019 - 2020,DIV,Manassas Park City Public Schools,11,274
2019 - 2020,DIV,Manassas Park City Public Schools,12,237
2019 - 2020,DIV,Martinsville City Public Schools,,1930
2019 - 2020,DIV,Martinsville City Public Schools,PK,139
2019 - 2020,DIV,Martinsville City Public Schools,KG,119
2019 - 2020,DIV,Martinsville City Public Schools,1,122
2019 - 2020,DIV,Martinsville City Public Schools,2,139
2019 - 2020,DIV,Martinsville City Public Schools,3,142
2019 - 2020,DIV,Martinsville City Public Schools,4,141
2019 - 2020,DIV,Martinsville City Public Schools,5,151
2019 - 2020,DIV,Martinsville City Public Schools,6,136
2019 - 2020,DIV,Martinsville City Public Schools,7,150
2019 - 2020,DIV,Martinsville City Public Schools,8,139
2019 - 2020,DIV,Martinsville City Public Schools,9,144
2019 - 2020,DIV,Martinsville City Public Schools,10,138
2019 - 2020,DIV,Martinsville City Public Schools,11,144
2019 - 2020,DIV,Martinsville City Public Schools,12,126
2019 - 2020,DIV,Mathews County Public Schools,,1008
2019 - 2020,DIV,Mathews County Public Schools,PK,8
2019 - 2020,DIV,Mathews County Public Schools,KG,67
2019 - 2020,DIV,Mathews County Public Schools,1,67
2019 - 2020,DIV,Mathews County Public Schools,2,68
2019 - 2020,DIV,Mathews County Public Schools,3,71
2019 - 2020,DIV,Mathews County Public Schools,4,73
2019 - 2020,DIV,Mathews County Public Schools,5,79
2019 - 2020,DIV,Mathews County Public Schools,6,83
2019 - 2020,DIV,Mathews County Public Schools,7,90
2019 - 2020,DIV,Mathews County Public Schools,8,72
2019 - 2020,DIV,Mathews County Public Schools,9,92
2019 - 2020,DIV,Mathews County Public Schools,10,77
2019 - 2020,DIV,Mathews County Public Schools,11,68
2019 - 2020,DIV,Mathews County Public Schools,12,93
2019 - 2020,DIV,Mecklenburg County Public Schools,,4205
2019 - 2020,DIV,Mecklenburg County Public Schools,PK,194
2019 - 2020,DIV,Mecklenburg County Public Schools,KG,303
2019 - 2020,DIV,Mecklenburg County Public Schools,1,292
2019 - 2020,DIV,Mecklenburg County Public Schools,2,289
2019 - 2020,DIV,Mecklenburg County Public Schools,3,303
2019 - 2020,DIV,Mecklenburg County Public Schools,4,311
2019 - 2020,DIV,Mecklenburg County Public Schools,5,321
2019 - 2020,DIV,Mecklenburg County Public Schools,6,297
2019 - 2020,DIV,Mecklenburg County Public Schools,7,296
2019 - 2020,DIV,Mecklenburg County Public Schools,8,323
2019 - 2020,DIV,Mecklenburg County Public Schools,9,336
2019 - 2020,DIV,Mecklenburg County Public Schools,10,330
2019 - 2020,DIV,Mecklenburg County Public Schools,11,317
2019 - 2020,DIV,Mecklenburg County Public Schools,12,293
2019 - 2020,DIV,Middlesex County Public Schools,,1208
2019 - 2020,DIV,Middlesex County Public Schools,PK,61
2019 - 2020,DIV,Middlesex County Public Schools,KG,96
2019 - 2020,DIV,Middlesex County Public Schools,1,72
2019 - 2020,DIV,Middlesex County Public Schools,2,89
2019 - 2020,DIV,Middlesex County Public Schools,3,98
2019 - 2020,DIV,Middlesex County Public Schools,4,81
2019 - 2020,DIV,Middlesex County Public Schools,5,97
2019 - 2020,DIV,Middlesex County Public Schools,6,84
2019 - 2020,DIV,Middlesex County Public Schools,7,92
2019 - 2020,DIV,Middlesex County Public Schools,8,82
2019 - 2020,DIV,Middlesex County Public Schools,9,86
2019 - 2020,DIV,Middlesex County Public Schools,10,91
2019 - 2020,DIV,Middlesex County Public Schools,11,95
2019 - 2020,DIV,Middlesex County Public Schools,12,84
2019 - 2020,DIV,Montgomery County Public Schools,,10102
2019 - 2020,DIV,Montgomery County Public Schools,PK,286
2019 - 2020,DIV,Montgomery County Public Schools,KG,720
2019 - 2020,DIV,Montgomery County Public Schools,1,757
2019 - 2020,DIV,Montgomery County Public Schools,2,797
2019 - 2020,DIV,Montgomery County Public Schools,3,748
2019 - 2020,DIV,Montgomery County Public Schools,4,769
2019 - 2020,DIV,Montgomery County Public Schools,5,731
2019 - 2020,DIV,Montgomery County Public Schools,6,775
2019 - 2020,DIV,Montgomery County Public Schools,7,818
2019 - 2020,DIV,Montgomery County Public Schools,8,724
2019 - 2020,DIV,Montgomery County Public Schools,9,805
2019 - 2020,DIV,Montgomery County Public Schools,10,718
2019 - 2020,DIV,Montgomery County Public Schools,11,783
2019 - 2020,DIV,Montgomery County Public Schools,12,671
2019 - 2020,DIV,Nelson County Public Schools,,1695
2019 - 2020,DIV,Nelson County Public Schools,PK,42
2019 - 2020,DIV,Nelson County Public Schools,KG,98
2019 - 2020,DIV,Nelson County Public Schools,1,96
2019 - 2020,DIV,Nelson County Public Schools,2,122
2019 - 2020,DIV,Nelson County Public Schools,3,114
2019 - 2020,DIV,Nelson County Public Schools,4,116
2019 - 2020,DIV,Nelson County Public Schools,5,125
2019 - 2020,DIV,Nelson County Public Schools,6,128
2019 - 2020,DIV,Nelson County Public Schools,7,144
2019 - 2020,DIV,Nelson County Public Schools,8,136
2019 - 2020,DIV,Nelson County Public Schools,9,141
2019 - 2020,DIV,Nelson County Public Schools,10,158
2019 - 2020,DIV,Nelson County Public Schools,11,143
2019 - 2020,DIV,Nelson County Public Schools,12,132
2019 - 2020,DIV,New Kent County Public Schools,,3354
2019 - 2020,DIV,New Kent County Public Schools,PK,69
2019 - 2020,DIV,New Kent County Public Schools,KG,224
2019 - 2020,DIV,New Kent County Public Schools,1,235
2019 - 2020,DIV,New Kent County Public Schools,2,255
2019 - 2020,DIV,New Kent County Public Schools,3,242
2019 - 2020,DIV,New Kent County Public Schools,4,236
2019 - 2020,DIV,New Kent County Public Schools,5,260
2019 - 2020,DIV,New Kent County Public Schools,6,265
2019 - 2020,DIV,New Kent County Public Schools,7,280
2019 - 2020,DIV,New Kent County Public Schools,8,287
2019 - 2020,DIV,New Kent County Public Schools,9,290
2019 - 2020,DIV,New Kent County Public Schools,10,245
2019 - 2020,DIV,New Kent County Public Schools,11,237
2019 - 2020,DIV,New Kent County Public Schools,12,229
2019 - 2020,DIV,Newport News City Public Schools,,28655
2019 - 2020,DIV,Newport News City Public Schools,PK,1402
2019 - 2020,DIV,Newport News City Public Schools,KG,2242
2019 - 2020,DIV,Newport News City Public Schools,1,2181
2019 - 2020,DIV,Newport News City Public Schools,2,2189
2019 - 2020,DIV,Newport News City Public Schools,3,2159
2019 - 2020,DIV,Newport News City Public Schools,4,2208
2019 - 2020,DIV,Newport News City Public Schools,5,2185
2019 - 2020,DIV,Newport News City Public Schools,6,2151
2019 - 2020,DIV,Newport News City Public Schools,7,2185
2019 - 2020,DIV,Newport News City Public Schools,8,2046
2019 - 2020,DIV,Newport News City Public Schools,9,2286
2019 - 2020,DIV,Newport News City Public Schools,10,1953
2019 - 2020,DIV,Newport News City Public Schools,11,1708
2019 - 2020,DIV,Newport News City Public Schools,12,1760
2019 - 2020,DIV,Norfolk City Public Schools,,29851
2019 - 2020,DIV,Norfolk City Public Schools,PG,14
2019 - 2020,DIV,Norfolk City Public Schools,PK,1863
2019 - 2020,DIV,Norfolk City Public Schools,KG,2490
2019 - 2020,DIV,Norfolk City Public Schools,1,2437
2019 - 2020,DIV,Norfolk City Public Schools,2,2363
2019 - 2020,DIV,Norfolk City Public Schools,3,2316
2019 - 2020,DIV,Norfolk City Public Schools,4,2277
2019 - 2020,DIV,Norfolk City Public Schools,5,2279
2019 - 2020,DIV,Norfolk City Public Schools,6,2193
2019 - 2020,DIV,Norfolk City Public Schools,7,2158
2019 - 2020,DIV,Norfolk City Public Schools,8,1936
2019 - 2020,DIV,Norfolk City Public Schools,9,2776
2019 - 2020,DIV,Norfolk City Public Schools,10,1904
2019 - 2020,DIV,Norfolk City Public Schools,11,1230
2019 - 2020,DIV,Norfolk City Public Schools,12,1615
2019 - 2020,DIV,Northampton County Public Schools,,1520
2019 - 2020,DIV,Northampton County Public Schools,PK,74
2019 - 2020,DIV,Northampton County Public Schools,KG,115
2019 - 2020,DIV,Northampton County Public Schools,1,109
2019 - 2020,DIV,Northampton County Public Schools,2,92
2019 - 2020,DIV,Northampton County Public Schools,3,129
2019 - 2020,DIV,Northampton County Public Schools,4,115
2019 - 2020,DIV,Northampton County Public Schools,5,101
2019 - 2020,DIV,Northampton County Public Schools,6,113
2019 - 2020,DIV,Northampton County Public Schools,7,107
2019 - 2020,DIV,Northampton County Public Schools,8,128
2019 - 2020,DIV,Northampton County Public Schools,9,112
2019 - 2020,DIV,Northampton County Public Schools,10,122
2019 - 2020,DIV,Northampton County Public Schools,11,102
2019 - 2020,DIV,Northampton County Public Schools,12,101
2019 - 2020,DIV,Northumberland County Public Schools,,1279
2019 - 2020,DIV,Northumberland County Public Schools,PK,63
2019 - 2020,DIV,Northumberland County Public Schools,KG,81
2019 - 2020,DIV,Northumberland County Public Schools,1,100
2019 - 2020,DIV,Northumberland County Public Schools,2,79
2019 - 2020,DIV,Northumberland County Public Schools,3,97
2019 - 2020,DIV,Northumberland County Public Schools,4,89
2019 - 2020,DIV,Northumberland County Public Schools,5,92
2019 - 2020,DIV,Northumberland County Public Schools,6,94
2019 - 2020,DIV,Northumberland County Public Schools,7,81
2019 - 2020,DIV,Northumberland County Public Schools,8,93
2019 - 2020,DIV,Northumberland County Public Schools,9,110
2019 - 2020,DIV,Northumberland County Public Schools,10,103
2019 - 2020,DIV,Northumberland County Public Schools,11,87
2019 - 2020,DIV,Northumberland County Public Schools,12,110
2019 - 2020,DIV,Norton City Public Schools,,818
2019 - 2020,DIV,Norton City Public Schools,PK,34
2019 - 2020,DIV,Norton City Public Schools,KG,70
2019 - 2020,DIV,Norton City Public Schools,1,54
2019 - 2020,DIV,Norton City Public Schools,2,45
2019 - 2020,DIV,Norton City Public Schools,3,50
2019 - 2020,DIV,Norton City Public Schools,4,64
2019 - 2020,DIV,Norton City Public Schools,5,61
2019 - 2020,DIV,Norton City Public Schools,6,59
2019 - 2020,DIV,Norton City Public Schools,7,59
2019 - 2020,DIV,Norton City Public Schools,8,65
2019 - 2020,DIV,Norton City Public Schools,9,68
2019 - 2020,DIV,Norton City Public Schools,10,78
2019 - 2020,DIV,Norton City Public Schools,11,59
